Link,Name,Address,Phone,Fax,Hotel Email,Hotel Website,Hotel Classification,Commission,Rooms,Rates,Overview Text,Year Built,Year Last Renovated,Chain,Chain Website,Discounts offered,Image URLs
https://www.travelweekly.com/Hotels/London/Royal-Eagle-Hotel-p4116235,Royal Eagle Hotel,"26-30 Craven Rd, London, England W2 3QB",44 20-7706-0700,44 20-7706 7788,reservations@royaleaglehotel.co.uk,https://centralparkcollection.co.uk/?divid=royal_eagle,2 Tourist Class,10%,120,-,Victorian-style Hotel with modern comforts situated in central London near Oxford Street & Buckingham Palace.,1849,2012,N/A,N/A,"Corporate discount, Travel Agents 10.0%, Airline Personnel 10.0%","https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/3/0/50/509/821/35247s_O/Royal-Eagle-Hotel-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/3/0/50/509/871/35247a_O/Royal-Eagle-Hotel-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/157/718/523/61442460_O/Royal-Eagle-Hotel-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/157/718/654/61442470_O/Royal-Eagle-Hotel-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Royal-Lancaster-London-p51657792,Royal Lancaster London,"Lancaster Terrace, London, England W2 2TY",44 20-7551-6000,44 20-7551-6111,info@royallancaster.com,https://www.royallancaster.com,8 Moderate Deluxe,10%,411,"$296 - $1,271","Modern High-rise Hotel situated in city center overlooking Hyde Park; near Kensington Palace, Albert Memorial & Royal Albert Hall.",1967,2017,Preferred Hotel & Resorts,https://www.preferredhotels.com,"Group discount, Corporate discount, Travel Agents","https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/123345/photos/65009643_XL/Royal-Lancaster-London-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/123345/photos/77926802_XL/Royal-Lancaster-London-Room.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/123345/photos/77926546_XL/Royal-Lancaster-London-Room.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/123345/photos/77926510_XL/Royal-Lancaster-London-Room.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Saint-Simeon-Hotel-p58255689,Saint Simeon Hotel,"38 Harrington Gardens Kensington, London, England SW7 4LT",44 20-7373-0505,44 20-7370-4214,bookings@stsimeon.com,https://www.stsimeon.com,Not Yet Rated,-,25,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Seraphine-Kensington-Garden-Hotel-p58559512,Seraphine Kensington Garden Hotel,"9 Kensington High Street, London, England W8 5NP",44 20-7368-2222,44 20-7368-2221,Kensington@seraphinehotel.co.uk,https://www.seraphinelondonkensington.com,Not Yet Rated,-,21,$136 - $256,N/A,2009,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Seven-Dials-Hotel-p58780133,Seven Dials Hotel,"7 Monmouth St Covent Garden, London, England WC2H 9DA",44 20-7240-0823,44 20-7681-0791,sevendialshotel@gmail.com,https://www.hotelslondon.me.uk/seven-dials-hotel-covent-garden,Not Yet Rated,-,18,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Shangri-La-The-Shard-London-p58218563,"Shangri-La The Shard, London","31 St Thomas Street, London, England SE1 9QU",44 20-7234-8000,44 207-234-8009,london@shangri-la.com,https://www.shangri-la.com/london/shangrila,9 Deluxe,10%,202,"$577 - $1,439",In London's Southwick borough south of the Thames River; occupies the 34th-52nd floors of the Shard; 72nd-floor observation deck.,2013,2014,Shangri-La Group,https://www.shangri-la.com,N/A,"https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/73937/photos/64060970_XL/Shangri-La-The-Shard-London-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/73937/photos/68528422_XL/Shangri-La-The-Shard-London-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/73937/photos/0746076_XL/Shangri-La-The-Shard-London-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/73937/photos/0746082_XL/Shangri-La-The-Shard-London-Lobby.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Sheriff-Hotel-p58744869,Sheriff Hotel,"115 Warwick Way, London, England SW1V 4HT",44 20-7834-0134,44 20-7834-7878,info@sheriffhotel.com,https://www.sheriffhotel.com,Not Yet Rated,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Signature-Twonhouse-Hyde-Park-p56171420,Signature Twonhouse Hyde Park,"36 Lancaster Gate, London, England W2 3NA",44 20-7402-1101,44 20-7262-2551,info@signaturetownhousehydepark.co.uk,https://www.signaturetownhousehydepark.co.uk,5 Limited Service First Class,8%,40,$287 - $500,"Located near Hyde Park and famous museums; complimented with modern decorations, hotel offers quality & affordability.",1800,2014,N/A,N/A,Group discount,"https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/http://images.ntmllc.com/v4/hotel/K09/K09703/K09703_EXT_ZE66AF/Signature-Twonhouse-Hyde-Park-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/http://images.ntmllc.com/v4/hotel/K09/K09703/K09703_ROM_Z1FDA6/Signature-Twonhouse-Hyde-Park-Room.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/http://images.ntmllc.com/v4/hotel/K09/K09703/K09703_BRL_Z2C679/Signature-Twonhouse-Hyde-Park-Bar-Lounge.jpg?tr=w-434%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Smart-City-Apartments-London-Bridge-p55129922,Smart City Apartments London Bridge,"52-54 Weston Street, London, England SE1 3QJ",44 20-7952-6088,N/A,N/A,http://smart-city-apartments-london-bridge.londonhotelsgb.com/en/#main,Not Yet Rated,-,4,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/SO-Arch-Aparthotel-p59582075,SO Arch Aparthotel,"Pemberton Gardens, London, England N19 5RR",44 20-7561-0875,44 20-7281-4099,stay@archhotel.co.uk,https://archhotel.co.uk,Not Yet Rated,-,34,$157 - $195,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/So-Kings-Cross-Hotel-p58858382,So Kings Cross Hotel,"170 King's Cross Rd, London, England WC1X 9DF",44 20-7278-2178,N/A,kingscross@the-so.com,http://www.so-kingscrosshotel-london.com,Not Yet Rated,-,-,$75 - $75,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/SO-Park-p53121963,SO Park,"140 Battersea Park Road, London, England SW11 4NB",44 20-7159-0314,44 20-7627-0771,corporate@the-so.com,https://the-so.com/so-battersea/,Not Yet Rated,-,-,$65 - $92,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Sofitel-London-St-James-p3732537,Sofitel London St James,"6 Waterloo Place, London, England SW1Y 4AN",44 20-7747-2200,44 20-7747-2210,Sofitel.LondonStJames@sofitel.com,https://sofitelstjames.com/,8 Moderate Deluxe,10%,183,"$423 - $1,700","Hotel set in the heart of St James in an historic bank building dating from 1923; multilingual staff, restaurant and bar.",2002,2019,Sofitel,http://www.sofitel.com,"Group discount, Corporate discount, Travel Agents 30.0%, Airline Personnel 30.0%","https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/5/0/89/351/259/3144_ho_00_p_3000x2250_O/Sofitel-London-St-James-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/5/0/89/351/263/3144_ho_01_p_3000x2250_O/Sofitel-London-St-James-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/5/0/89/351/267/3144_ho_02_p_3000x2250_O/Sofitel-London-St-James-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/5/0/89/351/283/3144_ro_00_p_3000x2250_O/Sofitel-London-St-James-Room.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Sonder-Museum-House-p59211650,Sonder - Museum House,"25 Museum Street, London, England WC1A 1JT",44 300-095-6101,N/A,N/A,https://www.sonder.com/en-gb/destinations/london/LON%20-%20MUSE25/c31141?sleeps=1,Not Yet Rated,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/South-Place-Hotel-p4440049,South Place Hotel,"3 South Place, London, England EC2M 2AF",44 20-3503-0000,44 20-3503-0777,hello@southplacehotel.com,https://southplacehotel.com,9 Deluxe,10%,80,"$358 - $1,013",Boutique hotel located between Moorgate and Liverpool Street stations - 3 minutes walk from Moorgate tube station.,2012,N/A,Preferred Hotel & Resorts,https://www.preferredhotels.com,N/A,
https://www.travelweekly.com/Hotels/London/St-Georges-Inn-Victoria-p59656068,St George's Inn Victoria,"25 Belgrave Rd, Victoria, London, England SW1V 1RB",44 20-7828-2061,44 20-7828-3605,info@stgeorgesinnvictoria.co.uk,https://www.stgeorgesinnvictoria.co.uk,Not Yet Rated,10%,22,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/St-Jamess-Hotel-and-Club-London-p4146994,St James's Hotel and Club London,"7-8 Park Place St James's, London, England SW1A 1LS",44 20-7316-1600,44 20-7316-1603,info@stjameshotelandclub.com,https://www.stjameshotelandclub.com/en,9 Deluxe,-,60,"$496 - $1,625",Traditional Club Hotel housed within refurbished mansion dating from 1892; multilingual staff; near Royal Palaces.,1892,2008,N/A,N/A,"Group discount, Corporate discount, Government/ Military discount",
https://www.travelweekly.com/Hotels/London/St-Joseph-Hotel-p58408108,St Joseph Hotel,"43-45 Longridge Rd, London, England SW5 9SD",44 20-7835-2010,44 20-7370-3251,info@stjosephhotel.co.uk,http://www.stjosephhotel.co.uk/index.php,Not Yet Rated,10%,40,$47 - $99,N/A,2010,N/A,N/A,N/A,N/A,https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/http://images.ntmllc.com/v4/hotel/T63/T63500/T63500_EXT_ZEAD74/St-Joseph-Hotel-Exterior.JPG?tr=w-1100%2Ch-654%2Cfo-auto
https://www.travelweekly.com/Hotels/London/St-Mark-Hotel-p4201798,St Mark Hotel,"4 Barkston Gardens, Earl's Ct, London, England SW5 0EN",44 20-7373-0060,44 20-7373-4796,info@st-markhotel.co.uk,https://www.st-markhotel.co.uk,Not Yet Rated,-,25,$57 - $122,N/A,N/A,2011,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Stanley-House-Hotel-p9709642,Stanley House Hotel,"19 - 21 Belgrave Road, London, England SW1V 1RB",44 20-7834-5042,44 20-7834-8349,cmahotel@aol.com,https://www.londonbudgethotel.co.uk,Not Yet Rated,10%,46,-,N/A,1978,N/A,N/A,N/A,"Group discount, AARP discount, Travel Agents 10.0%, Airline Personnel 10.0%",
https://www.travelweekly.com/Hotels/London/StayInn-Monument-p59717392,StayInn Monument,"49 Monument Street, London, England EC3R 8BU",44 207-749-4460,44 207-749-4470,N/A,N/A,Not Yet Rated,-,48,$500 - $500,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Sun-Street-Hotel-p58431946,Sun Street Hotel,"5-15 Sun St, London, England EC2A 2EP",44 203-988-7700,N/A,reservations@sunstreethotel.com,https://sunstreethotel.com,Not Yet Rated,-,41,-,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Swinton-Hotel-p8763849,Swinton Hotel,"18-24 Swinton St, London, England WC1X 9NX",44 20-7837-1451,44 20-7833-8743,swintonhotel@hotmail.com,http://www.swintonhotel.com,Not Yet Rated,-,54,$69 - $160,N/A,N/A,N/A,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/Taj-51-Buckingham-Gate-p8017352,Taj 51 Buckingham Gate,"51 Buckingham Gate, London, England SW1E 6AF",44 20-7769-7766,44 20-7233-5014,booktaj51.london@tajhotels.com,https://www.tajhotels.com/en-in/taj/taj-51-buckingham-gate-suites-and-residences,9 Deluxe,10%,85,"$582 - $5,128","Seven story Victorian features luxurious rooms designed for both comfort and efficiency, located in the center of Westminster.",1897,2014,"Taj Hotels, Resorts & Palaces",http://www.tajhotels.com,"Group discount, Corporate discount","https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/115/937/979/Full_Aerial_Map-_T51_O/Taj-51-Buckingham-Gate-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/1/0/27/652/64/51_Courtyard_Foutain1_High_O/Taj-51-Buckingham-Gate-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/2/0/71/430/767/Taj_51_Buckingham_Gate_Lobby_O/Taj-51-Buckingham-Gate-Lobby.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/2/0/71/430/748/Taj_51Buckingham_Gate_Lobby_1_O/Taj-51-Buckingham-Gate-Lobby.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Tavistock-Hotel-p4285517,Tavistock Hotel,"48-55 Tavistock Square, London, England WC1H 9EU",44 20-7636-8383,44 20-7837-4653,info@imperialhotels.co.uk,https://www.imperialhotels.co.uk/hotels/tavistock-hotel/46-5/?,2 Tourist Class,10%,395,$99 - $130,Modern hotel overlooking one of Bloomsbury's beautiful gardens; near the British Museum & University of London.,1946,2010,N/A,http://www.imperialhotels.co.uk,"Travel Agents, Airline Personnel","https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/142378/photos/71797903_XL/Tavistock-Hotel-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/142378/photos/71797915_XL/Tavistock-Hotel-Lobby.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/142378/photos/71797917_XL/Tavistock-Hotel-Lobby.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://media.iceportal.com/142378/photos/71797919_XL/Tavistock-Hotel-Lobby.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/Thanet-Hotel-p58405899,Thanet Hotel,"8 Bedford Place, London, England WC1B 5JA",44 75-6332-7440,44 20-7580-3377,thanethotel@yahoo.com,https://thanethotel.co.uk,Not Yet Rated,-,16,$122 - $185,N/A,1812,2012,N/A,N/A,N/A,
https://www.travelweekly.com/Hotels/London/The-Adria-p58968484,The Adria,"88 Queensgate, London, England SW7 5AB",44 20-7118-8988,44 20-7118-8887,stay@theadria.com,https://www.theadria.com,8 Moderate Deluxe,8%,22,$187 - $825,"Boutique hotel in South Kensington; a restored 19th century Victorian townhouse; near shopping, dining, entertainment.",1870,N/A,N/A,N/A,N/A,"https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/509/186/The_Adria_Exterior_O/The-Adria-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/509/242/Garden_Room_O/The-Adria-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/509/298/Entrance_O/The-Adria-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/156/509/63/Executive_Bedroom_O/The-Adria-Room.jpg?tr=w-212%2Ch-190%2Cfo-auto"
https://www.travelweekly.com/Hotels/London/The-Athenaeum-Hotel-Residences-p51671002,The Athenaeum Hotel & Residences,"116 Piccadilly, London, England W1J 7BJ",44 20-7499-3464,44 20-7493-1860,info@athenaeumhotel.com,https://www.athenaeumhotel.com,9 Deluxe,10%,18,$509 - $896,"Gracious Hotel located in Piccadilly, overlooking Green Park & within walking distance of Buckingham Palace & the West End.",1964,2009,N/A,N/A,"Group discount, Corporate discount, Government/ Military discount, Travel Agents","https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/118/148/750/HERO_2_O/The-Athenaeum-Hotel-%26-Residences-Exterior.jpg?tr=w-656%2Ch-390%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/118/146/719/HERO_9_O/The-Athenaeum-Hotel-%26-Residences-Exterior.jpg?tr=w-434%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/118/148/732/HERO_10_O/The-Athenaeum-Hotel-%26-Residences-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto, https://ik.imgkit.net/3vlqs5axxjf/external/ik-seo/https://www.cfmedia.vfmleonardo.com/imageRepo/7/0/118/146/568/HERO_12_O/The-Athenaeum-Hotel-%26-Residences-Exterior.jpg?tr=w-212%2Ch-190%2Cfo-auto"
